"election","cycle","fecyear","bonica.rid","bonica.cid","name","lname","ffname","fname","mname","title","suffix","party","state","seat","district","distcyc","ico.status","cand.gender","recipient.cfscore","recipient.cfscore.dyn","contributor.cfscore","dwdime","dwnom1","dwnom2","ps.dwnom1","ps.dwnom2","irt.cfscore","composite.score","num.givers","num.givers.total","total.receipts","total.disbursements","total.indiv.contribs","total.unitemized","total.pac.contribs","total.party.contribs","total.contribs.from.candidate","ind.exp.support","ind.exp.oppose","prim.vote.pct","pwinner","gen.vote.pct","gwinner","s.elec.stat","r.elec.stat","district.pres.vs","fec.cand.status","recipient.type","igcat","comtype","ICPSR","ICPSR2","Cand.ID","FEC.ID","NID","before.switch.ICPSR","after.switch.ICPSR","party.orig","nimsp.party","nimsp.candidate.ICO.code","nimsp.district","nimsp.office","nimsp.candidate.status"
"fd2020",2020,2020,"cand100270nominee",3120056714,"trump, donald j","trump","donald j","donald","j","","","200","00","federal:president","PRES","","I","M",1.563,1.584,0.325,NA,NA,NA,NA,NA,NA,4.1594694030336,2029054,2927477,744350229.26,752889328.62,248186618,210164867,846953.3,0,0,31362288.22,271676301.24,NA,"",NA,"","","",NA,"C","cand","","P","P800015712020","P80001571nominee","P80001571","C00580100","NP80001571",NA,NA,"200","","","","",""
"fd2020",2020,2020,"cand221nominee",5091347561,"biden, joseph r jr","biden","joseph r","joseph","r","","jr","100","00","federal:president","PRES","","C","M",-1.006,-1.006,-0.34,-0.916,-0.314,-0.042,NA,NA,NA,-2.79044021852628,4179290,4676466,1074179976.03,1073919500.66,504504091,318593994,563064.21,8200,0,296689569.7,156839582.23,NA,"",NA,"","","",NA,"C","cand","","P","141012020","14101nominee","P80000722","C00703975","NP80000722",NA,NA,"100","","","","",""
"fd2016",2016,2016,"cand1572nominee",5000005432803210,"clinton, hillary rodham","clinton","hillary rodham","hillary","rodham","","","100","00","federal:president","PRES","","C","F",-1.058,-1.058,-0.941,-1.12,-0.367,-0.243,NA,NA,NA,-2.88087821030239,563025,563025,585669598.83,585346281.35,300111643,105552584,1793640.85,20039.3,1450335.21,229733,0,NA,"",NA,"","","",NA,"C","cand","","S","401052016nominee","40105nominee","S0NY00188","C00358895","N00000019",NA,NA,"100","","","","",""
"PA2016",2016,2016,"cand102227",34863724127,"rafferty, john c jr","rafferty","john c","john","c","","jr","200","PA","state:attorneyg","","","","M",0.54,0.634,0.821,0.399,NA,NA,NA,NA,NA,1.43565711645807,1127,2703,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA_c_2016C04532016","PA6749","PA_c_2016C0453","pa_20110213","",NA,NA,"","","","","state:attorneyg",""
"PA2016",2016,2016,"cand102231",34882755616,"shapiro, joshua d","shapiro","joshua d","joshua","d","","","100","PA","state:attorneyg","","","","M",-0.854,-0.591,-0.75,-0.857,NA,NA,NA,NA,NA,-2.18835187283216,2253,48633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA_c_2016C07492016","PA6753","PA_c_2016C0749","pa_20160016","",NA,NA,"","","","","state:attorneyg",""
"PA2018",2018,2018,"cand102231",34882755616,"shapiro, joshua d josh","shapiro","joshua d josh","joshua","d","","","100","PA","state:attorneyg","","","I","M",-0.854,-0.629,-0.75,-0.857,NA,NA,NA,NA,NA,-2.18835187283216,288,48633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA64547962018","PA6753","PA6753","","PA6454796",NA,NA,"","","","","attorney general",""
"PA2020",2020,2020,"cand68862948",29085811649,"wolf, thomas w tom","wolf","thomas w tom","thomas","w","","","100","PA","state:governor","","","","M",-0.73,-0.712,-0.733,-0.657,NA,NA,NA,NA,NA,-2.01225730999724,298,14487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA50237992020","PA_c_2014C1307","PA_c_2014C1307","","PA5023799",NA,NA,"","","","","governor",""
"PA2016",2016,2016,"cand68861305",29085816743,"wagner, scott r & bartos, jeffrey a","wagner","scott r & bartos","scott r & bartos","","","","200","PA","state:governor","","","C","M",1.027,0.96,1.061,0.985,NA,NA,NA,NA,NA,2.5084042669092,437,3957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA46805292016","pa_2014C1091","PA4680529","","PA4680529",NA,NA,"","","","","governor / lieutenant governor",""
"PA2018",2018,2018,"cand68861305",29085816743,"wagner, scott r & bartos, jeffrey a","wagner","scott r & bartos","scott r & bartos","","","","200","PA","state:governor","","","C","M",1.027,1.037,1.061,0.985,NA,NA,NA,NA,NA,2.5084042669092,3550,3957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA46805292018","pa_2014C1091","PA4680529","","PA4680529",NA,NA,"","","","","governor / lieutenant governor",""
"PA2018",2018,2018,"cand68862948",29085811649,"wolf, thomas w tom & fetterman, john k","wolf","thomas w tom & fetterman","thomas w tom & fetterman","","","","100","PA","state:governor","","","I","M",-0.73,-0.789,-0.733,-0.657,NA,NA,NA,NA,NA,-2.01225730999724,8522,14487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA50237992018","PA5023799","PA5023799","","PA5023799",NA,NA,"","","","","governor / lieutenant governor",""
"PA2020",2020,2020,"cand197135",5000003972005065,"heidelbaugh, heather s","heidelbaugh","heather s","heather","s","","","200","PA","state:attorneyg","","","C","F",1.062,1.062,1.098,1.025,NA,NA,NA,NA,NA,2.61310169714653,544,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA149942302020","PA14994230","PA14994230","","PA14994230",NA,NA,"","","","","attorney general",""
"PA2016",2016,2016,"cand68862948",29085811649,"wolf, thomas w tom & fetterman, john k","wolf","thomas w tom & fetterman","thomas w tom & fetterman","","","","100","PA","state:governor","","","I","M",-0.73,-0.611,-0.733,-0.657,NA,NA,NA,NA,NA,-2.01225730999724,894,14487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA50237992016","PA5023799","PA5023799","","PA5023799",NA,NA,"","","","","governor / lieutenant governor",""
"PA2020",2020,2020,"cand102231",34882755616,"shapiro, joshua d josh","shapiro","joshua d josh","joshua","d","","","100","PA","state:attorneyg","","","I","M",-0.854,-0.658,-0.75,-0.857,NA,NA,NA,NA,NA,-2.18835187283216,2523,48633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,"","cand","","","PA64547962020","PA6753","PA6454796","","PA6454796",NA,NA,"","","","","attorney general",""
